video_id,title,view_count,like_count,total_comments,positive_count,negative_count,neutral_count,avg_sentiment_score,positive_pct
AbeTMM-WlT8,"Mystery Behind ""The One-Vote Defeat"" in 1999 | Most Shocking Day of Indian Politics | Varun Jauhari",2887,126,5,1.0,4.0,0.0,0.8697,20.0
A8v_BlhgKgg,India’s Own Starlink? | Reliance Plans Massive LEO Satellite Internet | UPSC | StudyIQ IAS,5646,186,10,4.0,6.0,0.0,0.9749,40.0
lvxdhA7O1Go,BJP’s Biggest Political Weapon in Assam? | Delimitation | Hemanta Biswa Sharma | UPSC GS | StudyIQ,6346,171,16,9.0,7.0,0.0,0.9343,56.25
wVFPx1m4rQ0,Comfort Zone Will Kill Your UPSC Dream | 95% Won’t Make It | By Vasu Katara,1072,28,1,0.0,1.0,0.0,0.9766,0.0
xXVa1aFOhU0,India Shocked | Punjab Twin Blasts | ISI Conspiracy & Khalistan Link | StudyIQ,9317,269,24,11.0,13.0,0.0,0.9499,45.83
QSNhm_HkNPE,India Under PM Modi's Leadership | BJP Maharashtra Creates World Record | By Ankit Agrawal #Shorts,173130,8827,49,11.0,38.0,0.0,0.9272,22.45
zNTE69i8apc,Modi Tattva: शिक्षा का ‘मोदीकरण’? | RSS & Saffronization | Dr Pankaj Mishra | StudyIQ IAS,6465,261,40,11.0,29.0,0.0,0.8926,27.5
Q8Vjzh_pQfo,The Hindu Analysis | 7th May 2026 | The Hindu News Paper Today With Practice Questions | StudyIQ,0,0,0,0.0,0.0,0.0,,
TGlybb0Tbcg,Indian Express Analysis | 7th May 2026 | Government Schemes & Initiatives for UPSC | StudyIQ,0,1,0,0.0,0.0,0.0,,
SJ87Q8WOkyM,Ancient History Revision Through PYQ's | History Marathon for UPSC Prelims 2026 | StudyIQ,10092,227,5,4.0,1.0,0.0,0.9901,80.0
